微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
LnWlmx2JK,【运动季Quiz】muffin top和love handle还有区别？从字面上muffin top感觉是哪种好吃的东东！but，这是muffin溢出纸杯边的蛋糕体，现指......肚子中间的肥肉。而love handle是腰部乃至后腰两侧多出来的肉肉。🎉🎁🎉今天邀请大家完成运动季quiz有奖问答，完成后将有机会获得我们给大家准备的周边礼物一份！⭐参与方式 转发此weibo，并在评论区发出quiz答案即可⭐活动日期：即日起至4月17日*本活动解释权归英国大使馆文化教育处所有             [组图共6张]      原图                             ,"http://ww4.sinaimg.cn/large/68ffa517ly1h15po06gl5j20qo0qowk9.jpg,http://ww4.sinaimg.cn/large/68ffa517ly1h15pp2spxtj20xc0xcwor.jpg,http://ww3.sinaimg.cn/large/68ffa517ly1h15pnzznkej20rs0rs0zq.jpg,http://ww1.sinaimg.cn/large/68ffa517ly1h15po0f54yj20u00u0wgy.jpg,http://ww4.sinaimg.cn/large/68ffa517ly1h15po0t2ygj20xc0xc7ax.jpg,http://ww3.sinaimg.cn/large/68ffa517ly1h15por4tj3j20ku0dwdke.jpg",无,2022-04-11 13:22,iPhone客户端,4,12,10
Lpdno3OeA,"#鸡汤# #英语# Reading makes a full man, conference a ready man, and writing an exact man. -- Francis Bacon 读书使人深沉，谈话使人机敏，而写作使人思想精确。——培根。这句虽然老旧了点，但在作文中引用名人名言会增色不少噢~ 网页链接  原图 ",http://wx2.sinaimg.cn/large/68ffa517gy1h1f3zhuzr8j20f00csaao.jpg,无,2022-04-19 22:34,微博 weibo.com,3,3,1
LpdlmwY8J,"#英语#少儿英语## 英语故事# 大家都知道尼斯湖水怪的秘密吧，这个藏在苏格兰的一湖中奇怪生物有很多个传说。跟着我们的视频小故事一探究竟吧！更多英语学习的小故事都在我们的LearnEnglish Kids: Playtime 应用里，苹果手机用户打开App Store, 搜索我们的应用 网页链接 LearnEnglish的微博视频                                 ",无,无,2022-04-19 22:29,微博视频号,0,3,0
LpdlmtFZ3,"#英语# 学习英语不枯燥，只需找对方法，我们的Jennifer老师来分享How to make study English fun!1. add subtitles to any shows you are watching2. listen to music in English, find English radio stations online3. research topics that you're interested in4. Have more conversations in EnglishJennifer老师来自EnglishScore Tutor的英语辅导老师，在线1V1英语辅导课程，提高你的口语水平就是要找到对的方法！快来体验课程，9元第一节课。网页链接 LearnEnglish的微博视频                                 ",无,无,2022-04-19 22:29,微博视频号,1,2,0
LpcaiEr1H,#LearnEnglish# 重磅信息！最新火热MOOC课程已经开课啦！如何提高邮件打开率和回复率的秘籍都在这里。 MOOC课程-Writing Better Email适合办公室一族或者希望通过提高邮件写作技能来获得更多工作机会的你。为什么我的邮件总是石沉大海没有回复，要不就是得不到想要的结果，甚至是写完就受到投诉！我们的专业老师会带你在英语邮件写作上成功吃鸡，一定不要错过完美邮件速成法，希望这款课程可以带给你一个全新的起点。猛戳课程链接网页链接 LearnEnglish的微博视频                                 ,无,无,2022-04-19 19:29,微博视频号,1,0,1
LpcaiA2J0,#英语# #雅思#【职业播客】Interviewing Techniques面试技巧，今天给大家share一个面试技巧英音音频版。在参加英语面试时，应如何准确有效地向面试官描述自己的优势、“沟通能力强”、“注重细节”？看 #LE实用英语# 视频，学习如何在求职面试中用英语介绍自己的工作能力网页链接 LearnEnglish的微博视频                                 ,无,无,2022-04-19 19:29,微博视频号,2,1,0
Lp3JUlUua,#英语# 边玩游戏边记单词一举两得是不是有效，试一试才知道。苹果手机用户下载LearnEnglish Kids:Playtime 应用。不仅有游戏，还有上百个英语学习视频故事，等你下载噢！ LearnEnglish的微博视频  ,无,无,2022-04-18 22:02,微博视频号,1,0,0
Lp2YUv16e,#英语##雅思#本周我们的John老师回答用户的问题是关于雅思口语考试Task I 当你在讲话时为什么会被考官打断？ 在线学习Understanding IELTS 课程，掌握雅思口语、听力、阅读及写作备考技巧。网页链接 LearnEnglish的微博视频  ,无,无,2022-04-18 20:06,微博视频号,0,1,0
Lp2ULlXh5,"#英语# 大家晚上好！今天跟大家分享一个实用英语口语小技巧的视频，当遇到4个不同的形容词来描述人或事物，哪个在前，哪个在后呢？我们的老师来教大家一个排列顺序的口诀：Orange, Skies And Shady Clouds On My Pilliow. Organge: 表示Opinion 观点Skies: 表示Size尺寸And: 表示Age年代Shady:表示Shape形状Clouds:表示color颜色On:表示Origin所产地My:表示Material材质Pillow:表示Purpose用途网页链接  LearnEnglish的微博视频                                 ",无,无,2022-04-18 19:56,微博视频号,2,4,0
LoANYe5qh,#英语# 春天给我们带来有多少惊喜， 用英语怎么描述春天的到来，宝妈们快来跟宝宝们一起学唱这首英文歌曲吧！网页链接 LearnEnglish的微博视频  ,无,无,2022-04-15 20:22,微博视频号,2,2,0
