微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
LonSJhySw, 开通会员[置顶]会员特权 每月一期【教学与研究 | 英语教师专业发展免费资源包（四月）】现已上线！扫描下图中各活动二维码或点击这里立即获取丰富资源👉网页链接本月资源包内容速览：👇【活动免费报名】一场培训课程：教学之路 – 线上远程教学技能培养两场专题研讨会：TESOL大师课（第四期）如何开发优质...全文 原图 ,http://wx3.sinaimg.cn/large/801513c2gy1h1938amqmdj20rt4y4kjl.jpg,无,2022-04-14 11:28,新版微博 weibo.com,0,0,0
LpCS5zYqr,📢 专为英语教师打造的特别线上活动🌏📚🎓 Climate Action in Language Education / 英语教育中的气候活动 报名指路：网页链接 今天是2022世界地球日（World Earth Day），英国文化教育协会将于今晚18.00-19.00(北京时间)举办一场面向全球英语教师的特别活动 【Climate Action in Language Education】。活动中将发布一系列面向英语教师的免费教学资源，帮助教师们在英语教学课堂中创造性地融入气候变化相关主题的内容。#世界地球日##TheClimateConnection##英语教学#                  原图                             ,http://wx2.sinaimg.cn/large/801513c2gy1h1ij5grx21j20zk0io0zc.jpg,无,2022-04-22 15:28 ,新版微博 weibo.com,0,4,1
LpsovaRv3,2022 TESOL大师课线上研讨会第四期 ——How to create excellent materials for your learners如何设计出色的教学材料，将于4月26日周二与大家见面 ！讲座时间：4月26日，周二，20:00-21:00（北京时间）讲座专家：Katherine Bilsborough主持专家：韩亚文教授报名：网页链接 或扫描下方...全文 原图 ,http://wx4.sinaimg.cn/large/801513c2gy1h1h8w4zpfwj26k4ccgnph.jpg,无,2022-04-21 12:47,新版微博 weibo.com,0,0,0
Looo0zbLD,【特别推荐——免费慕课】Teaching pathways: Skills for remote teaching（教学之路：远程教学技能）开放时间：4月12日-5月9日（为期五周，学习时间灵活安排）报名👉网页链接课程介绍：该慕课将帮助教师了解如何成功从线下教学转为线上教学、影响在线教学成功开展的因素，以及学习远程教学的不同方式方法以及反思这些技巧将如何影响学习者的学习。内容模块：1. 设计和调整教学材料2. 远程教学中的学习管理3. 学习评估及其对学习动机的影响4. 翻转式、合作式和基于游戏的学习方式             [组图共3张]      原图                             ,"http://ww4.sinaimg.cn/large/801513c2gy1h195gmlup7j20rt0dq77e.jpg,http://ww3.sinaimg.cn/large/801513c2gy1h195gqp8tzj20il0a5wjs.jpg,http://ww2.sinaimg.cn/large/801513c2gy1h195gvcrlrj20id09z0v7.jpg",无,2022-04-14 12:45,新版微博 weibo.com,1,0,0
LnlGBsIj9,"【今日推荐——线上研讨会】“Finished, teacher!” What to do with fast finishers in the Young Learner classroom “老师，我做完了！“ 管理班级不同速度学习者的原则与策略今晚（4月7日）北京时间19:00-20:00，与 Laura McWilliams 一起畅聊一小时。Laura是IATEFL青少年教学委员会专家、TYLEC导...全文 [组图共3张] 原图 ","http://ww3.sinaimg.cn/large/801513c2gy1h117uq4nqkj20ru0a144w.jpg,http://ww1.sinaimg.cn/large/801513c2gy1h117uwvhcnj20rg065dl6.jpg,http://ww1.sinaimg.cn/large/801513c2gy1h117v22vq2j20rv053wjz.jpg",无,2022-04-07 16:02,新版微博 weibo.com,0,0,0
LlOaetdkE,【今日推荐 - 研讨会精彩回顾】2022 TESOL Master Class Episode 3 - The Future of Englishes 由国际英语教育中国大会组委会TCA联合英国文化教育协会举办的系列在线研修TESOL大师课第三期课程邀请来自澳门理工大学温植胜副教授作为青年学者代表担任主持人，邀请班戈大学语言学名誉教授、英国国家学术院院士 David Crystal 博士作为主讲嘉宾，就【The Future of Englishes 论英语的未来】这一主题进行讲解。David Crystal 是英国顶级语言学家，出版学术著作100余本（如《剑桥语言百科全书》和《剑桥英语语言百科全书》等），在英语教育领域具有极强的学术影响力。TESOL大师课第四期课程即将于4月与大家见面，欢迎大家持续关注！ 英国大使馆文化教育处英语教学的微博视频                                 ,无,无,2022-03-28 12:52,微博视频号,1,0,0
Lk00GgXFF,【今日推荐——线上研讨会】国际英语教育中国大会组委会TCA联合英国文化教育协会将在3月18日晚20:00推出免费在线研修第️三期——The  Future of Englishes，扫描下图二维码即刻报名。更多详情：网页链接讲座时间：3月18日，周五，20:00讲座专家：David Crystal 教授主持专家：温植胜博士  原图 ,http://wx4.sinaimg.cn/large/801513c2gy1h0bqzflc0kj20zk0k0q6n.jpg,无,2022-03-16 15:20,新版微博 weibo.com,0,0,0
LiMrvcipE,每月一期【教学与研究 | 英语教师专业发展免费资源包（三月）】现已上线！扫描下图中各活动二维码或点击这里立即获取丰富资源👉网页链接本月资源包内容速览：👇【活动免费报名】一场培训课程：有效的发音教学两场专题研讨会：课堂中有效的发音练习方法、今日英语教学之机遇与挑战【国际奖项申请】2022年ELTons国际英语教学创新奖（ELTons Innovation Awards 2022）霍恩比 – 词典和词汇学英语教育研究项目（A.S. Hornby Dictionary Research Awards）【音视频精彩放送】教学课堂中的性别平等教师手绘小技巧开花植物的生命周期语言与自然环境的相互影响【教师问卷】英语教学中性别平等研究项目更多资源，欢迎关注哔哩哔哩账号【TeachingEnglish】👉网页链接#英语# #英语教学# #英语教师成长与发展#                  原图                             ,http://wx3.sinaimg.cn/large/801513c2gy1h02he1eeasj20u06pgnpd.jpg,无,2022-03-08 14:58,微博 weibo.com,0,3,0
LhxGMm9sJ,【2022年第二十届ELTons国际英语教学创新奖申请通道开启】申请提交截止日期为2022年3月18日07:59。更多详情及提交申请指导建议，请查看活动官网👉网页链接作为全球唯一表彰英语教学创新成就的国际奖项，ELTons Innovation Awards 2022 将发掘并表彰过去两年最具开创性与启发性的英语教学实践。特别是在新冠肺炎疫情期间，为了减轻疫情对教育事业造成的干扰，凭借非凡智慧和创造性革新教学模式与方法的个人和团队，如最具创新性的直播课程、线上课程、应用程序、教学平台、教育项目及其他案例，以及支持教师发展与、改善教师福祉的新方法等。奖项设置：优质课程创新奖 (Excellence in Course Innovation)教师资源创新奖 (Innovation in Teacher Resources)学生资源创新奖 (Innovation in Learner Resources)数字技术创新奖 (Digital Innovation)本土教学创新奖 (Local Innovation)#英语# #英语教学# #英语教育#  英国大使馆文化教育处英语教学的微博视频                                 ,无,无,2022-02-28 11:34,微博视频号,2,6,1
LgFoH9N5P,【今日推荐——线上研讨会】如何设计一堂参与性极强的叙事课，让您的学生在语言课堂中积极投入、无暇分心？2月24日本周四19.00（中国时间），同Ahisha Haneef一起探寻答案！注册报名：网页链接  [组图共2张] 原图 ,"http://ww2.sinaimg.cn/large/801513c2gy1gzmeumkh82j20h10fwtaj.jpg,http://ww1.sinaimg.cn/large/801513c2gy1gzmeupz6qkj20h107wgnv.jpg",无,2022-02-22 17:21,微博 weibo.com,0,1,0
